year,date,team_a,team_b,score_a,score_b,venue,notes
1993,10/9,Boston College,Rutgers,31,21,"@ East Rutherford, NJ",
1993,10/23,Army,Boston College,14,41,,
1993,10/30,Boston College,Tulane,42,14,,
1993,11/6,Boston College,Virginia Tech,48,34,,
1993,11/13,Boston College,Pittsburgh,33,0,,
1993,11/20,Boston College,Notre Dame,41,39,,
1993,11/26,Boston College,West Virginia,14,17,,
1993,1/1,Boston College,Virginia,31,13,"@ Miami, FL",Blockbuster Bowl
1992,9/5,Boston College,Rutgers,37,20,,
1992,9/12,Boston College,Northwestern,49,0,,
1992,9/19,Boston College,Navy,28,0,,
1992,9/26,Boston College,Michigan State,14,0,,
1992,10/3,Boston College,West Virginia,24,24,,
1992,10/17,Boston College,Penn State,35,32,,
1992,10/24,Boston College,Tulane,17,13,,
1992,10/31,Boston College,Temple,45,6,,
1992,11/7,Boston College,Notre Dame,7,54,,
1992,11/14,Boston College,Syracuse,10,27,,
1992,11/21,Army,Boston College,24,41,,
1992,1/1,Boston College,Tennessee,23,38,"@ Tampa, FL",Hall of Fame Bowl
1991,8/31,Boston College,Rutgers,13,20,,
1991,9/7,Boston College,Michigan,13,35,,
1991,9/14,Boston College,Georgia Tech,14,30,,
1991,9/28,Boston College,Penn State,21,28,,
1991,10/12,Boston College,Louisville,33,3,,
1991,10/19,Boston College,West Virginia,24,31,,
1991,10/26,Army,Boston College,17,28,,
1991,11/2,Boston College,Pittsburgh,38,12,,
1991,11/9,Boston College,Temple,33,13,,
1991,11/16,Boston College,Syracuse,16,38,,
1991,11/23,Boston College,Miami (Florida),14,19,,
1990,9/8,Boston College,Pittsburgh,6,29,,
1990,9/15,Boston College,Ohio State,10,31,,
1990,9/29,Boston College,Navy,28,17,,
1990,10/6,Boston College,Rutgers,19,14,,
1990,10/13,Army,Boston College,20,41,,
1990,10/20,Boston College,Penn State,21,40,,
1990,10/27,Boston College,West Virginia,27,14,,
1990,11/3,Boston College,Syracuse,6,35,,
1990,11/10,Boston College,Louisville,10,17,,
1990,11/17,Boston College,Miami (Florida),12,42,,
1990,11/24,Boston College,Temple,10,29,,
1989,9/9,Boston College,Pittsburgh,10,29,,
1989,9/16,Boston College,Rutgers,7,9,"@ East Rutherford, NJ",
1989,9/23,Boston College,Penn State,3,7,,
1989,9/30,Boston College,Ohio State,29,34,,
1989,10/14,Boston College,Temple,35,14,,
1989,10/21,Boston College,Navy,24,27,,
1989,10/28,Boston College,West Virginia,30,44,,
1989,11/4,Boston College,Syracuse,11,23,,
1989,11/11,Army,Boston College,17,24,,
1989,11/18,Boston College,Louisville,22,36,,
1989,11/25,Boston College,Georgia Tech,12,13,,
1988,9/1,Boston College,Southern California,7,34,,
1988,9/10,Boston College,Cincinnati,41,7,,
1988,9/17,Boston College,Penn State,20,23,,
1988,9/24,Boston College,Texas Christian,17,31,,
1988,10/1,Boston College,Pittsburgh,34,31,,
1988,10/15,Boston College,Rutgers,6,17,,
1988,10/22,Boston College,West Virginia,19,59,,
1988,11/5,Boston College,Tennessee,7,10,,
1988,11/12,Boston College,Syracuse,20,45,,
1988,11/19,Army,Boston College,24,38,"@ Dublin, Ireland",Emerald Isle Classic
1988,11/26,Boston College,Temple,28,45,,
1987,9/5,Boston College,Texas Christian,38,20,,
1987,9/12,Boston College,Temple,28,7,,
1987,9/19,Boston College,Southern California,17,23,,
1987,9/26,Boston College,Penn State,17,27,"@ Foxborough, MA",
1987,10/3,Boston College,Pittsburgh,13,10,,
1987,10/10,Army,Boston College,24,29,,
1987,10/17,Boston College,Rutgers,24,38,,
1987,10/24,Boston College,West Virginia,16,37,,
1987,10/31,Boston College,Tennessee,20,18,,
1987,11/7,Boston College,Notre Dame,25,32,,
1987,11/14,Boston College,Syracuse,17,45,,
1986,9/6,Boston College,Rutgers,9,11,,
1986,9/13,Boston College,California,21,15,,
1986,9/20,Boston College,Penn State,14,26,"@ Foxborough, MA",
1986,10/4,Boston College,Southern Methodist,29,31,,
1986,10/11,Boston College,Maryland,30,25,,
1986,10/18,Boston College,Louisville,41,7,,
1986,10/25,Boston College,West Virginia,19,10,,
1986,11/1,Army,Boston College,20,27,,
1986,11/8,Boston College,Temple,38,29,,
1986,11/15,Boston College,Syracuse,27,9,,
1986,11/22,Boston College,Holy Cross,56,26,,
1986,12/23,Boston College,Georgia,27,24,"@ Tampa, FL",Hall of Fame Bowl
1985,8/29,Boston College,Brigham Young,14,28,"@ East Rutherford, NJ",Kick-off Classic
1985,9/7,Boston College,Temple,28,25,,
1985,9/14,Boston College,Maryland,13,31,"@ Foxborough, MA",
1985,9/21,Boston College,Pittsburgh,29,22,,
1985,9/28,Boston College,Miami (Florida),10,45,"@ Foxborough, MA",
1985,10/5,Boston College,Rutgers,20,10,"@ East Rutherford, NJ",
